Url do Servidor,name,group-title,logo-link,link,validade,tamanho_GB,largura,altura,fps,contagem quadros
http://gol7990.com:80/,[XXX] Publicbang 21 03 26 Medusa [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662701.mp4,320,0.357449,1280.0,720.0,29.0,50390.0
http://gol7990.com:80/,[XXX] Publicbang 21 05 07 Susy Gala [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662703.mp4,320,0.419446,1280.0,720.0,29.0,59113.0
http://gol7990.com:80/,[XXX] Publicbang 21 06 25 Sappre Lapiedra [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662705.mp4,320,0.386099,1280.0,720.0,29.0,54420.0
http://gol7990.com:80/,[XXX] Publicbang 21 07 23 Linda Gonzalez [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662707.mp4,320,0.46939,1280.0,720.0,29.0,66166.0
http://gol7990.com:80/,[XXX] Publicbang 21 11 19 Bella Dana [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662709.mp4,320,0.397235,1280.0,720.0,29.0,56002.0
http://gol7990.com:80/,[XXX] Publicbang 21 12 17 Medusa [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662711.mp4,320,0.452975,1280.0,720.0,29.0,63828.0
http://gol7990.com:80/,[XXX] Publicbang 22 08 05 Geishakyd [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662713.mp4,320,0.553053,1280.0,720.0,29.0,77953.0
http://gol7990.com:80/,[XXX] Publicbang 22 09 02 Misha Maver [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662715.mp4,320,0.387044,1280.0,720.0,29.0,54547.0
http://gol7990.com:80/,[XXX] Publicbang 22 09 30 Mini Vamp [Adulto],Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/662717.mp4,320,0.454145,1280.0,720.0,29.0,64010.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Victoria Sunsne Gets Her Hair,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664285.mp4,320,0.528901,1280.0,720.0,29.0,74536.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Jesse Pony Wants To Get Ridde,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664247.mp4,320,0.453489,1280.0,720.0,24.0,51290.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Jill Kassidy Jerks With Her F,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664251.mp4,320,0.479299,1280.0,720.0,29.0,67547.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Kenna James Kenna Gets Stretc,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664255.mp4,320,0.650203,1280.0,720.0,29.0,91572.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Luna Lovely A Fist Up My Puss,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664259.mp4,320,0.439133,1280.0,720.0,29.0,61830.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Melissa Stratton Cums When Ch,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664262.mp4,320,0.375284,1280.0,720.0,29.0,52882.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Nichole Sapr Submits To Pain ,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664267.mp4,320,0.578865,1280.0,720.0,29.0,81591.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Riley Reign Pawg Riley Gettin,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664271.mp4,320,0.534639,1280.0,720.0,30.0,75414.0
http://gol7990.com:80/,[XXX] [Yesgirlz Com] Sarah Taylor Earns A Facial [,Filmes | Adultos,http://image.tmdb.org/t/p/w600_and_h900_bestv2/s9kn5wm8hRt1k7xzXPNNs682LBP.jpg,http://go7l99a.com:80/movie/48289021/05478069/664275.mp4,320,0.382029,1280.0,720.0,29.0,53823.0
