name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB
Bicho do Mato 2006 S01 E15,Séries | Novelas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/l8nB7snLf5BWU62lGcBzZWmpUFR.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/330154.mp4,1080,620,23,80587,0.620158
A Noite dos Mortos Vivos: Re-Animação,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oZwmgcATMp0CqiaMIWkIGXaFAnf.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6460.mp4,1280,960,23,138768,2.336334
Bicho do Mato 2006 S01 E178,Séries | Novelas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/l8nB7snLf5BWU62lGcBzZWmpUFR.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/350410.mp4,1920,1080,29,88174,0.451179
A Noite é Delas,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zpJBPKO4S8W29snlAhEPZwC7oC6.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/3523.mp4,1280,536,23,145056,1.057537
Autoescola para Mulheres Sauditas,Filmes | Documentarios,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1HVCSnKx3R3PxbyavPApzBDvLMz.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6194.mp4,1280,720,30,107429,0.560415
A Nossa Guerra dos 7 Dias, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2qpt7KuxSWUQ67sQJzEJbp98hwl.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83729.mp4,1280,720,29,157563,1.632285
A Noviça Rebelde,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/anNfNOIQJygypWWFiQQnSXuqsba.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4182.mp4,1920,880,29,314156,1.521536
Dora S01 E11,Séries | Desenhos,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bDKiaNOzNgVykHOrWgAwsjzmZbr.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/330763.mp4,1280,720,23,17114,0.150725
A Oitava Noite,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/a11TdGOWqASvbeMs7q0a1YLa5K.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5165.mp4,1280,692,23,167479,2.163398
A Nova Onda do Imperador,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iN4nsXWzASSjYUIHUkwSJQ6b2UW.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/2939.mp4,640,352,23,112767,0.64229
A Origem dos Guardiões,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qexDkVYcoJMP9YguYw3ej1Xud3U.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/2940.mp4,1280,720,23,139825,0.760193
A Outra Filha,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/namdEEjsOYc3L3YkGpVo4UfNpIA.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5167.mp4,640,288,29,170663,0.819045
A Paixão de Cristo,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nhepbUWTnLb9fm4qk9h52MYBszm.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5491.mp4,1280,528,23,182027,0.824608
A Pedreira, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6sxN5XRWPXes5gg2E9sGRTkhMAb.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83732.mp4,1280,534,23,148297,1.916023
