name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,ano,tipo,legendado,temporada,episodio,cam,dublado,provedor,generos,date
Malhacao,Séries | Novelas,https://patiohype.com.br/wp-content/uploads/2023/09/Vagabanda.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/295008.mp4,960,540,29,39520,0.191638,"<re.Match object; span=(14, 28), match='(11 Temporada)'>",Série,False,1.0,94.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://patiohype.com.br/wp-content/uploads/2023/09/Vagabanda.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/295130.mp4,960,540,23,35714,0.216413,"<re.Match object; span=(14, 28), match='(11 Temporada)'>",Série,False,1.0,216.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://upload.wikimedia.org/wikipedia/pt/thumb/1/11/Malha%C3%A7%C3%A3o-1995CD2.jpg/220px-Malha%C3%A7%C3%A3o-1995CD2.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/309834.mp4,960,540,29,49526,0.240707,"<re.Match object; span=(14, 28), match='(01 Temporada)'>",Série,False,1.0,9.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://teledramaturgia.com.br/wp-content/uploads/2015/02/malhacaoconectados_logo-650x441.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/327628.mp4,900,700,29,39474,0.197368,,Série,False,1.0,96.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://upload.wikimedia.org/wikipedia/pt/thumb/1/11/Malha%C3%A7%C3%A3o-1995CD2.jpg/220px-Malha%C3%A7%C3%A3o-1995CD2.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/309981.mp4,960,540,29,45001,0.218223,"<re.Match object; span=(14, 28), match='(01 Temporada)'>",Série,False,1.0,156.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://www.google.com/url?sa=i&url=https%3A%2F%2Flista.mercadolivre.com.br%2Fcd-malha%25C3%25A7%25C3%25A3o-2005&psig=AOvVaw3TI8fxXEvubGWQq2jdoooY&ust=1720883828327000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPjGn_7loYcDFQAAAAAdAAAAABAJ,http://wateronplay.com:80/series/Veron23/Veron2023/377790.mp4,640,480,29,44050,0.209155,,Série,False,1.0,163.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://upload.wikimedia.org/wikipedia/pt/8/85/Malha%C3%A7%C3%A3o_%2815%C2%AA_temporada%29.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/376901.mp4,1280,720,23,36448,0.227939,,Série,False,1.0,44.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://upload.wikimedia.org/wikipedia/pt/thumb/1/11/Malha%C3%A7%C3%A3o-1995CD2.jpg/220px-Malha%C3%A7%C3%A3o-1995CD2.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/309901.mp4,960,540,29,46353,0.225171,"<re.Match object; span=(14, 28), match='(01 Temporada)'>",Série,False,1.0,76.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://patiohype.com.br/wp-content/uploads/2023/09/Vagabanda.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/294976.mp4,960,540,29,49132,0.238588,"<re.Match object; span=(14, 28), match='(11 Temporada)'>",Série,False,1.0,62.0,False,False,"G, l, o, b, o, p, l, a, y",,
Malhacao,Séries | Novelas,https://media.fstatic.com/9trnxdjIb_OyM5412AF1tiAFWho=/322x478/smart/filters:format(webp)/media/movies/covers/2022/05/2022-51-malhacao-1997-poster-1-.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/301046.mp4,640,480,29,43651,0.135428,"<re.Match object; span=(14, 28), match='(03 Temporada)'>",Série,False,1.0,136.0,False,False,"G, l, o, b, o, p, l, a, y",,
